code	country	state	name
	AU	AAT	Australian Antarctic Territory
	AU	ACT	Australian Capital Territory
	AU	NT	Northern Territory
	AU	NSW	New South Wales
	AU	QLD	Queensland
	AU	SA	South Australia
	AU	TAS	Tasmania
	AU	VIC	Victoria
	AU	WA	Western Australia
	BR	AC	Acre
	BR	AL	Alagoas
	BR	AM	Amazonas
	BR	AP	Amapa
	BR	BA	Baia
	BR	CE	Ceara
	BR	DF	Distrito Federal
	BR	ES	Espirito Santo
	BR	FN	Fernando de Noronha
	BR	GO	Goias
	BR	MA	Maranhao
	BR	MG	Minas Gerais
	BR	MS	Mato Grosso do Sul
	BR	MT	Mato Grosso
	BR	PA	Para
	BR	PB	Paraiba
	BR	PE	Pernambuco
	BR	PI	Piaui
	BR	PR	Parana
	BR	RJ	Rio de Janeiro
	BR	RN	Rio Grande do Norte
	BR	RO	Rondonia
	BR	RR	Roraima
	BR	RS	Rio Grande do Sul
	BR	SC	Santa Catarina
	BR	SE	Sergipe
	BR	SP	Sao Paulo
	BR	TO	Tocatins
	CA	AB	Alberta
	CA	BC	British Columbia
	CA	MB	Manitoba
	CA	NB	New Brunswick
	CA	NF	Newfoundland
	CA	NS	Nova Scotia
	CA	NT	Northwest Territories
	CA	NT	Nunavut
	CA	ON	Ontario
	CA	PE	Prince Edward Island
	CA	QC	Quebec
	CA	SK	Saskatchewan
	CA	YT	Yukon Territory
	NL	DR	Drente
	NL	FL	Flevoland
	NL	FR	Friesland
	NL	GL	Gelderland
	NL	GR	Groningen
	NL	LB	Limburg
	NL	NB	Noord Brabant
	NL	NH	Noord Holland
	NL	OV	Overijssel
	NL	UT	Utrecht
	NL	ZH	Zuid Holland
	NL	ZL	Zeeland
	UK	BEDS	Bedfordshire
	UK	BERKS	Berkshire
	UK	BORDER	Borders
	UK	BUCKS	Buckinghamshire
	UK	CAMBS	Cambridgeshire
	UK	CENT	Central
	UK	CI	Channel Islands
	UK	CHESH	Cheshire
	UK	CLEVE	Cleveland
	UK	CORN	Cornwall
	UK	CUMB	Cumbria
	UK	DERBY	Derbyshire
	UK	DEVON	Devonshire
	UK	DORSET	Dorsetshire
	UK	DUMGAL	Dumfries & Galloway
	UK	GLAM	Glamorganshire
	UK	GLOUS	Gloucestershire
	UK	GRAMP	Grampian
	UK	GWYNED	Gwynedd
	UK	HANTS	Hampshire 
	UK	HERWOR	Herefordshire & Worcestershire
	UK	HERTS	Hertfordshire
	UK	HIGHL	Highland
	UK	HUMBER	Humberside
	UK	HUNTS	Huntingdonshire
	UK	IOM	Isle of Man
	UK	IOW	Isle of White
	UK	LANARKS	Lanarkshire
	UK	LANCS	Lancashire
	UK	LEICS	Leicestershire
	UK	LINCS	Licolnshire
	UK	LOTH	Lothian
	UK	MIDDX	Middlesex
	UK	NORF	Norfolk
	UK	NHANTS	Northamptonshire
	UK	NTHUMB	Northumberland
	UK	NOTTS	Nottinghamshire
	UK	OXON	Oxfordshire
	UK	PEMBS	Pembrokeshire
	UK	RUTLAND	Rutlandshire
	UK	SHROPS	Shropshire
	UK	SOM	Somersetshire
	UK	STAFFS	Staffordshire
	UK	STRATH	Strathclyde
	UK	SUFF	Suffolk
	UK	SUSS	Sussex
	UK	TAYS	Tayside
	UK	TYNE	Tyne & Wear
	UK	WARKS	Warwickshire
	UK	WILTS	Wiltshire
	UK	WORCS	Worcestershire
	UK	YORK	Yorkshire
	EI	CO ANTRIM	County Antrim
	EI	CO ARMAGH	County Armagh
	EI	CO DOWN	County Down
	EI	CO DURHAM	County Durham
	EI	CO FERMANAgh	County Fermanagh
	EI	CO DERRY	County Londonderry
	EI	CO TYRONE	County Tyrone
	US	AA	Armed Forces Americas        
	US	AE	Armed Forces Europe, Middle East, & Canada 
	US	AP	Armed Forces Pacific                          
	US	AK	Alaska  
	US	AL	Alabama  
	US	AR	Arkansas     
	US	AS	American Samoa     
	US	AZ	Arizona  
	US	CA	California         
	US	CO	Colorado     
	US	CT	Connecticut           
	US	DC	District of Columbia     
	US	DE	Delaware     
	US	FL	Florida  
	US	FM	Federated States of Micronesia  
	US	GA	Georgia  
	US	GU	Guam  
	US	HI	Hawaii  
	US	IA	Iowa  
	US	ID	Idaho              
	US	IL	Illinois          
	US	IN	Indiana        
	US	KS	Kansas         
	US	KY	Kentucky     
	US	LA	Louisiana                       
	US	MA	Massachusetts                   
	US	MD	Maryland     
	US	ME	Maine     
	US	MH	Marshall Islands                
	US	MI	Michigan                           
	US	MN	Minnesota
	US	MO	Missouri
	US	MP	Northern Mariana Islands
	US	MS	Mississippi
	US	MT	Montana
	US	NC	North Carolina
	US	ND	North Dakota
	US	NE	Nebraska
	US	NH	New Hampshire
	US	NJ	New Jersey
	US	NM	New Mexico
	US	NV	Nevada
	US	NY	New York
	US	OH	Ohio
	US	OK	Oklahoma
	US	OR	Oregon
	US	PA	Pennsylvania
	US	PR	Puerto Rico
	US	PW	Palau
	US	RI	Rhode Island
	US	SC	South Carolina
	US	SD	South Dakota
	US	TN	Tennessee
	US	TX	Texas
	US	UT	Utah
	US	VA	Virginia
	US	VI	Virgin Islands
	US	VT	Vermont
	US	WA	Washington
	US	WI	Wisconsin
	US	WY	Wyoming
